BBDD_ID,PRICE,CONTRUCTION_DATE,NEIGHBORHOOD,PARKING_LOTS,AREA,ADMINISTRATION_PRICE,STRATUM,STORAGE_ROOM,BEDROOM,BATHROOM,HALF_BATHROOM,VIEW_TYPE,PARKING_LOT_TYPES,KITCHEN_FEATURES,BALCONIES,LIVING_ROOMS,DINNING_ROOMS,LAUNDRY_AREAS,SERVICE_ROOMS,DRESSING_ROOMS,SERVICE_BATHROOMS,STUDYING_ROOMS,GREEN_ZONES,GYM,POOL,TURCO,VISITOR_PARKING_LOTS,YARD,KIDS_PARK,BBQ,SOCIAL_ROOM,SPORTS_FIELD,SOLARIUM
169711,220000000,2020-01-01 5:00:00,Calasanz,1,42,,4,,2,2,,Exterior,Cubierto,Integral,1,1,,1,,,,,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
342193,1050000000,2000-01-01 5:00:00,El Tesoro,2,218,530000,6,,3,5,,,,Integral,1,1,1,,1,1,1,1,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO
134543,940000000,2000-01-01 5:00:00,Conquistadores,2,270,,5,1,4,4,0,Exterior,Cubierto,Integral,0,0,,1,1,0,0,0,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO
433395,375000000,2005-01-01 5:00:00,Los Gonzales,2,86.80000305,376000,5,,3,3,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
433255,420000000,2005-01-01 5:00:00,El Tesoro,1,85.5,293419,6,,3,2,,,Cubierto,"Equipada,Integral",1,1,1,,,,,,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO
250836,673835968,2020-01-01 5:00:00,Barrio Colón,2,68,0,6,,1,2,,,,Integral,,1,,,,1,,,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
250856,680000000,2018-01-01 5:00:00,Lorena,1,110,454,5,,3,3,,,Cubierto,Integral,1,,,1,,,,,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO
250993,650000000,2014-01-01 5:00:00,La Candelaria,2,124,413000,6,1,3,3,,,,,,,,1,,1,1,,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO
251013,620000000,2001-01-01 5:00:00,La Tomatera,1,150,,6,1,3,2,,,Cubierto,,1,,,1,,1,,,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
251015,1800000000,2016-01-01 5:00:00,La Tomatera,1,230,,6,1,3,3,,,Cubierto,,1,,,1,,1,,1,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO
301514,400000000,1995-01-01 5:00:00,Conquistadores,1,120,130000,5,,4,3,,Exterior,Cubierto,Integral,1,1,1,1,1,,1,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
301917,205000000,2004-01-01 5:00:00,La Candelaria,0,66,0,3,,3,2,,,,Integral,1,1,1,1,,,,,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
302128,360000000,1985-01-01 5:00:00,San Diego,0,85,310000,4,,2,3,,,,,1,1,1,1,,,,,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO
302189,310000000,2019-01-01 5:00:00,Barrio Buenos Aires,1,62,0,4,,2,2,,,,Integral,1,1,1,1,,1,,,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,NO
251011,370000000,2011-01-01 5:00:00,Los Colores,1,85,198000,4,,3,2,,,,,1,,,1,,,,,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO
14666,720000000,1987-01-02 0:00:00,Alejandría,1,209,530000,6,,3,1,,Exterior,Cubierto,Integral,1,1,,1,,,,,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
466863,325000000,1999-01-01 5:00:00,Simón Bolívar,1,63.74000168,140000,5,,3,2,,,Cubierto,Integral,1,1,1,1,,,,,YES,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO
158500,225000000,2015-01-01 5:00:00,Calasanz,1,55,150000,4,,2,2,,,,,1,,,1,,,,1,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO
475927,410000000,2006-01-01 5:00:00,Santa Mónica,1,87,310000,5,,3,2,,,,,1,1,1,1,,,,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
257589,500000000,1998-01-01 5:00:00,San Lucas,2,158,780000,,,3,2,,,Cubierto,Integral,1,1,1,,1,,,,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
244494,620000000,1990-01-01 5:00:00,Alejandría,2,174.7200012,597800,6,,3,3,,,Cubierto,"Equipada,Integral,Isla",,1,1,1,1,1,1,1,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO
466146,600000000,2011-01-01 5:00:00,Lorena,1,160,200000,4,,3,3,,,Cubierto,,1,1,1,1,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
324465,380000000,1976-01-01 5:00:00,Rosales,2,126,268800,4,,4,3,,Calle,,Integral,1,,,1,,,,,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO
324538,365000000,1990-01-01 5:00:00,Caribe,2,166,590000,4,,4,3,,Calle,,Integral,1,,,1,,,1,1,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
324683,215000000,2010-01-01 5:00:00,La Candelaria,0,62,30000,3,,3,2,,,,Integral,1,1,1,1,,,,,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
323902,840000000,2019-01-01 5:00:00,Palmas,2,136,340000,5,,1,4,,,Cubierto,Integral,1,1,,,,,,,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO
324739,775000000,2010-01-01 5:00:00,Santa María de los Ángeles,1,91,0,6,,3,2,,,,Semi-integral,,1,1,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
324795,620000000,1989-01-01 5:00:00,San Lucas,1,160,0,5,,3,3,,,,Semi-integral,,,,,,1,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
324097,430000000,2000-01-01 5:00:00,Velódromo,1,130,0,5,,3,4,,,,Integral,1,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
237884,245000000,2016-01-01 5:00:00,Lorena,0,32,0,5,,1,2,,,,,,1,,1,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
466151,290000000,2003-01-01 5:00:00,San Germán,0,62,,4,,3,2,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
